Prime Number,Time
5879,0.000285
5881,0.000348
5897,0.000521
5903,0.00059
5923,0.000396
5927,0.000396
5939,0.000368
5953,0.000295
5981,0.000307
5987,0.00029
6007,0.000304
6011,0.000294
6029,0.000305
6037,0.000377
6043,0.000301
6047,0.000293
6053,0.0003
6067,0.000304
6073,0.000305
6079,0.000294
6089,0.000295
6091,0.000296
6101,0.000296
6113,0.000297
6121,0.000302
6131,0.000417
6133,0.000361
6143,0.000335
6151,0.000371
6163,0.000248
6173,0.00024900000000000004
6197,0.000243
6199,0.000321
6203,0.000306
6211,0.000311
6217,0.000306
6221,0.000313
6229,0.000302
6247,0.000303
6257,0.000308
6263,0.000305
6269,0.000301
6271,0.000304
6277,0.000393
6287,0.000305
6299,0.000338
6301,0.000312
6311,0.000343
6317,0.000733
6323,0.000424
6329,0.000311
6337,0.000359
6343,0.000314
6353,0.000308
6359,0.000314
6361,0.000317
6367,0.000311
6373,0.000317
6379,0.000309
6389,0.000313
6397,0.00031
6421,0.00031
6427,0.000308
6449,0.000311
6451,0.000426
6469,0.0026260000000000003
6473,0.00036
6481,0.000364
6491,0.00034700000000000003
6521,0.000369
6529,0.000319
6547,0.000351
6551,0.000354
6553,0.000779
6563,0.000344
6569,0.00034700000000000003
6571,0.000372
6577,0.000381
6581,0.000367
6599,0.000391
6607,0.000332
6619,0.000291
6637,0.000294
6653,0.000259
6659,0.000259
6661,0.000372
6673,0.000424
6679,0.000458
6689,0.000458
6691,0.000493
6701,0.00045
6703,0.000485
6709,0.000471
6719,0.000566
6733,0.0004570000000000001
6737,0.000371
6761,0.000383
6763,0.000379
6779,0.000451
6781,0.000333
6791,0.000394
6793,0.000332
6803,0.000449
6823,0.0004440000000000001
6827,0.000469
6829,0.000469
6833,0.000442
6841,0.000402
6857,0.000412
6863,0.000395
6869,0.000426
6871,0.000484
6883,0.000342
6899,0.000335
6907,0.000341
6911,0.000336
6917,0.000344
6947,0.000337
6949,0.000343
6959,0.000338
6961,0.000348
6967,0.000339
6971,0.00034700000000000003
6977,0.000339
6983,0.000354
6991,0.000388
6997,0.00039
7001,0.000393
7013,0.0004
7019,0.000416
7027,0.000356
7039,0.000348
7043,0.000462
7057,0.000348
7069,0.00034500000000000004
7079,0.000344
7103,0.000353
7109,0.000346
7121,0.000396
7127,0.000396
7129,0.000398
7151,0.000398
7159,0.000396
7177,0.0004
7187,0.000402
7193,0.000399
7207,0.000362
7211,0.000302
7213,0.000374
7219,0.000405
7229,0.000402
7237,0.00035
7243,0.000386
7247,0.000348
7253,0.000362
7283,0.000355
7297,0.000355
7307,0.000364
7309,0.000357
7321,0.00036
7331,0.000363
7333,0.00035800000000000003
7349,0.000362
7351,0.000363
7369,0.000456
7393,0.000414
7411,0.00029
7417,0.000465
7433,0.000363
7451,0.000365
7457,0.00037
7459,0.000365
7477,0.000402
7481,0.000365
7487,0.000399
7489,0.000378
7499,0.0004440000000000001
7507,0.00041500000000000017
7517,0.000411
7523,0.000375
7529,0.000392
7537,0.000535
7541,0.000379
7547,0.00033
7549,0.000301
7559,0.000299
7561,0.000367
7573,0.000375
7577,0.000377
7583,0.000374
7589,0.000371
7591,0.000383
7603,0.000371
7607,0.000375
7621,0.000385
7639,0.000313
7643,0.000384
7649,0.000377
7669,0.000496
7673,0.000481
7681,0.000488
7687,0.000379
7691,0.000385
7699,0.000386
7703,0.000376
7717,0.000376
7723,0.000379
7727,0.000386
7741,0.000378
7753,0.000388
7757,0.000378
7759,0.00038
7789,0.00038
7793,0.000381
7817,0.000386
7823,0.000407
7829,0.000563
7841,0.000469
7853,0.000404
7867,0.000441
7873,0.000435
7877,0.000311
7879,0.000311
7883,0.000326
7901,0.000383
7907,0.00039
7919,0.000397
7927,0.000395
7933,0.000392
7937,0.000387
7949,0.000392
7951,0.000393
7963,0.000388
7993,0.000391
8009,0.000391
8011,0.000453
8017,0.000377
8039,0.000467
8053,0.0005099999999999999
8059,0.000368
8069,0.000462
8081,0.000395
8087,0.000398
8089,0.000407
8093,0.000403
8101,0.000395
8111,0.000401
8117,0.000558
8123,0.000599
8147,0.0007599999999999999
8161,0.000596
8167,0.000573
8171,0.000461
8179,0.0004570000000000001
8191,0.00037
8209,0.000376
8219,0.000476
8221,0.000466
8231,0.000461
8233,0.000461
8237,0.000462
8243,0.00046
8263,0.000462
8269,0.000459
8273,0.000462
8287,0.000468
8291,0.000476
8293,0.000412
8297,0.000762
8311,0.000559
8317,0.000515
8329,0.000373
8353,0.000372
8363,0.00044
8369,0.000466
8377,0.000602
8387,0.000469
8389,0.000467
8419,0.000615
8423,0.000566
8429,0.000559
8431,0.000475
8443,0.000442
8447,0.000397
8461,0.000384
8467,0.000397
8501,0.000471
8513,0.000573
8521,0.000559
8527,0.000542
8537,0.000523
8539,0.000503
8543,0.000499
8563,0.000481
8573,0.0005070000000000001
8581,0.000654
8597,0.000609
8599,0.001258
8609,0.000483
8623,0.000476
8627,0.000482
8629,0.000487
8641,0.000491
8647,0.000482
8663,0.000484
8669,0.000483
8677,0.00048
8681,0.000481
8689,0.000594
8693,0.000718
8699,0.000691
8707,0.000394
8713,0.000489
8719,0.000523
8731,0.000493
8737,0.000495
8741,0.000597
8747,0.000588
8753,0.000585
8761,0.000597
8779,0.0004
8783,0.000397
8803,0.00036
8807,0.0005
8819,0.000746
8821,0.000463
8831,0.00043
8837,0.000432
8839,0.000437
8849,0.000447
8861,0.000434
8863,0.00045
8867,0.000449
8887,0.0005009999999999999
8893,0.0005009999999999999
8923,0.0005059999999999999
8929,0.0005070000000000001
8933,0.000529
8941,0.00046
8951,0.000446
8963,0.000393
8969,0.000657
8971,0.000463
8999,0.000465
9001,0.000443
9007,0.000442
9011,0.000466
9013,0.000443
9029,0.000443
9041,0.00045
9043,0.000453
9049,0.000447
9059,0.0004570000000000001
9067,0.00048
9091,0.000533
9103,0.0005139999999999999
9109,0.000584
9127,0.000509
9133,0.0005059999999999999
9137,0.000406
9151,0.000531
9157,0.0005200000000000001
9161,0.000526
9173,0.000526
9181,0.000521
9187,0.0005200000000000001
9199,0.000516
9203,0.000521
9209,0.000519
9221,0.0005200000000000001
9227,0.000614
9239,0.0005650000000000001
9241,0.000558
9257,0.000549
9277,0.000559
9281,0.000625
9283,0.000544
9293,0.000528
9311,0.000524
9319,0.000529
9323,0.00045
9337,0.000521
9341,0.000521
9343,0.000529
9349,0.000576
9371,0.0005769999999999999
9377,0.000488
9391,0.000728
9397,0.000528
9403,0.000526
9413,0.000534
9419,0.000532
9421,0.000539
9431,0.000541
9433,0.000536
9437,0.000537
9439,0.000541
9461,0.000544
9463,0.000537
9467,0.000464
9473,0.000399
9479,0.000537
9491,0.000469
9497,0.000539
9511,0.000582
9521,0.000538
9533,0.000537
9539,0.000533
9547,0.000534
9551,0.00054
9587,0.000537
9601,0.000537
9613,0.0005269999999999999
9619,0.000524
9623,0.000549
9629,0.000547
9631,0.000544
9643,0.000584
9649,0.000563
9661,0.000487
9677,0.000478
9679,0.000484
9689,0.00049
9697,0.000475
9719,0.0004980000000000001
9721,0.000476
9733,0.000667
9739,0.000849
9743,0.000545
9749,0.000547
9767,0.000549
9769,0.000549
9781,0.00049
9787,0.000547
9791,0.00048
9803,0.000492
9811,0.000489
9817,0.000482
9829,0.000482
9833,0.000493
9839,0.000471
9851,0.000439
9857,0.000484
9859,0.00117
9871,0.000942
9883,0.001158
9887,0.0007160000000000001
9901,0.0006940000000000001
9907,0.000678
9923,0.000668
9929,0.000609
9931,0.0004940000000000001
9941,0.0005769999999999999
9949,0.001625
9967,0.000986
9973,0.000958
10007,0.001088
10009,0.000685
10037,0.000672
10039,0.000676
10061,0.000606
10067,0.00055
10069,0.00056
10079,0.000495
10091,0.0004940000000000001
10093,0.0004969999999999999
10099,0.0005
10103,0.000531
10111,0.000496
10133,0.0005009999999999999
10139,0.000503
10141,0.0005009999999999999
10151,0.000499
10159,0.0004969999999999999
10163,0.0005110000000000001
10169,0.000478
10177,0.000597
10181,0.0005780000000000001
10193,0.000563
10211,0.000456
10223,0.00046
10243,0.0005780000000000001
10247,0.000503
10253,0.000512
10259,0.000502
10267,0.000504
10271,0.000576
10273,0.000538
10289,0.001561
10301,0.000587
10303,0.001394
10313,0.000552
10321,0.0005070000000000001
10331,0.0005070000000000001
10333,0.000513
10337,0.000531
10343,0.000517
10357,0.000508
10369,0.0005139999999999999
