Date:  21:52, Saturday, February 08, 2020
Model name:Cantilever
Study name:Static 1(-Default-)
Plot type: Static displacement Displacement1
Result Type: URES 


Node  ,Value (mm)  ,X (mm)  ,Y (mm)  ,Z (mm)
607  ,5.395e+00   ,-44.333  ,6  ,15.385
608  ,5.389e+00   ,-44.333  ,6  ,16.923
609  ,5.382e+00   ,-44.333  ,6  ,18.462
610  ,5.672e+00   ,-45.889  ,6  ,1.5385
611  ,5.679e+00   ,-45.889  ,6  ,3.0769
612  ,5.685e+00   ,-45.889  ,6  ,4.6154
613  ,5.689e+00   ,-45.889  ,6  ,6.1538
614  ,5.691e+00   ,-45.889  ,6  ,7.6923
615  ,5.693e+00   ,-45.889  ,6  ,9.2308
616  ,5.693e+00   ,-45.889  ,6  ,10.769
617  ,5.691e+00   ,-45.889  ,6  ,12.308
618  ,5.689e+00   ,-45.889  ,6  ,13.846
619  ,5.685e+00   ,-45.889  ,6  ,15.385
620  ,5.679e+00   ,-45.889  ,6  ,16.923
621  ,5.672e+00   ,-45.889  ,6  ,18.462
622  ,5.967e+00   ,-47.444  ,6  ,1.5385
623  ,5.973e+00   ,-47.444  ,6  ,3.0769
624  ,5.978e+00   ,-47.444  ,6  ,4.6154
625  ,5.982e+00   ,-47.444  ,6  ,6.1538
626  ,5.985e+00   ,-47.444  ,6  ,7.6923
627  ,5.986e+00   ,-47.444  ,6  ,9.2308
628  ,5.986e+00   ,-47.444  ,6  ,10.769
629  ,5.985e+00   ,-47.444  ,6  ,12.308
630  ,5.982e+00   ,-47.444  ,6  ,13.846
631  ,5.978e+00   ,-47.444  ,6  ,15.385
632  ,5.973e+00   ,-47.444  ,6  ,16.923
633  ,5.966e+00   ,-47.444  ,6  ,18.462
634  ,6.265e+00   ,-49  ,6  ,1.5385
635  ,6.271e+00   ,-49  ,6  ,3.0769
636  ,6.276e+00   ,-49  ,6  ,4.6154
637  ,6.280e+00   ,-49  ,6  ,6.1538
638  ,6.282e+00   ,-49  ,6  ,7.6923
639  ,6.283e+00   ,-49  ,6  ,9.2308
640  ,6.283e+00   ,-49  ,6  ,10.769
641  ,6.282e+00   ,-49  ,6  ,12.308
642  ,6.280e+00   ,-49  ,6  ,13.846
